iso,umd_tree_cover_loss__year,,umd_tree_cover_loss__ha,umd_tree_cover_loss_from_fires__ha
LAO,2003,LAO2003,87073.09141,209.2602708
LBN,2003,LBN2003,83.57542339,28.46282714
LBR,2003,LBR2003,21604.88992,165.6024942
LBY,2003,LBY2003,25.26571737,11.75655462
LCA,2003,LCA2003,19.4266862,0.373695296
LKA,2003,LKA2003,3149.418425,49.19929798
LSO,2003,LSO2003,2.484692584,0
LTU,2003,LTU2003,8916.009263,27.2252236
LUX,2003,LUX2003,103.4199707,0.698709017
LVA,2003,LVA2003,21321.4159,158.2203069
MAF,2003,MAF2003,3.295436471,0.0732317
MAR,2003,MAR2003,2042.52646,571.0680264
MDA,2003,MDA2003,100.5993463,6.638090676
MDG,2003,MDG2003,84248.03231,2742.634309
MDV,2003,MDV2003,2.142708274,0
MEX,2003,MEX2003,152535.4923,18560.5376
MKD,2003,MKD2003,895.2280943,8.507933667
MLI,2003,MLI2003,34.24351147,0
MMR,2003,MMR2003,77224.38731,1342.571269
MNE,2003,MNE2003,203.6859679,86.28793024
MNG,2003,MNG2003,38433.93433,35626.40995
MOZ,2003,MOZ2003,79651.49307,377.9752206
MRT,2003,MRT2003,1.256266299,1.256266299
MSR,2003,MSR2003,2.286058313,0
MTQ,2003,MTQ2003,288.5440659,13.40764328
MUS,2003,MUS2003,119.6302621,0
MWI,2003,MWI2003,7094.369541,29.4995751
MYS,2003,MYS2003,184057.6909,3355.202754
MYT,2003,MYT2003,30.92584943,0.150093504
NAM,2003,NAM2003,210.8876483,0.22030927
NCL,2003,NCL2003,883.9158608,265.0655275
NER,2003,NER2003,0.224596165,0.074728022
NGA,2003,NGA2003,13380.62899,37.96709651
NIC,2003,NIC2003,46944.04762,868.5407843
NLD,2003,NLD2003,309.8542634,8.112835863
NOR,2003,NOR2003,14817.39184,599.3295727
NPL,2003,NPL2003,2291.937476,311.4073229
NZL,2003,NZL2003,44798.82485,1066.237935
PAK,2003,PAK2003,591.4408114,175.0676326
PAN,2003,PAN2003,11285.49143,372.7673641
PER,2003,PER2003,73869.26968,3973.182951
PHL,2003,PHL2003,35153.83453,581.4430862
PLW,2003,PLW2003,17.62527665,1.22083716
PNG,2003,PNG2003,31805.23199,735.5731957
POL,2003,POL2003,33292.80423,188.5506529
PRI,2003,PRI2003,1194.089454,10.82910899
PRK,2003,PRK2003,7348.267563,1259.381961
PRT,2003,PRT2003,26840.1576,9104.771998
PRY,2003,PRY2003,267306.4297,16988.26651
