Series Name,Series Code,Country Name,Latitude,Longitude,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Forest area (sq. km),AG.LND.FRST.K2,Equatorial Guinea,1.650801,10.267895,GNQ,25320.1,25236.52,25152.94,25069.36,24985.78,24902.2,24818.6,24735,24651.4,24567.8,24484.2,24400.6,24317,..,..
Forest area (sq. km),AG.LND.FRST.K2,Eritrea,15.179384,39.782334,ERI,10868.6,10837,10805.4,10773.8,10742.2,10710.6,10679,10647.4,10615.8,10584.2,10552.6,10521,10489.4,..,..
Forest area (sq. km),AG.LND.FRST.K2,Estonia,58.595272,25.013607,EST,23360.2,23530.18,23700.16,23870.14,24040.12,24210.1,24212.5,24384,24384,24384,24384,24384,24384,..,..
Forest area (sq. km),AG.LND.FRST.K2,Eswatini,,,SWZ,4854.3,4866.44,4878.58,4890.72,4902.86,4915,4927.2,4939.3,4951.4,4963.5,4975.6,4987.7,4999.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,Ethiopia,9.145,40.489673,ETH,177985,177255,176525,175795,175065,174335,173605,172875,172145,171415,170685,169955,169225,..,..
Forest area (sq. km),AG.LND.FRST.K2,Faroe Islands,61.892635,-6.911806,FRO,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,Fiji,-16.578193,179.414413,FJI,10732.4,10799.16,10865.92,10932.68,10999.44,11066.2,11133,11199.8,11266.6,11333.4,11400.2,11467,11533.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,Finland,61.92411,25.748151,FIN,222420,222754,223088,223422,223756,224090,224090,224090,224090,224090,224090,224090,224090,..,..
Forest area (sq. km),AG.LND.FRST.K2,France,46.227638,2.213749,FRA,164190,165024,165858,166692,167526,168360,169194,170028,170862,171696,172530,173364,174198,..,..
Forest area (sq. km),AG.LND.FRST.K2,French Polynesia,-17.679742,-149.406843,PYF,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,..,..
Forest area (sq. km),AG.LND.FRST.K2,Gabon,-0.803689,11.609444,GAB,236494.1,236375.28,236256.46,236137.64,236018.82,235900,235781.2,235662.4,235543.6,235424.8,235306,235187.2,235068.4,..,..
Forest area (sq. km),AG.LND.FRST.K2,Gambia,13.443182,-15.310139,GMB,3000,2942.68,2885.36,2828.04,2770.72,2713.4,2656,2598.7,2541.4,2484,2426.7,2369.333,2312.011,..,..
Forest area (sq. km),AG.LND.FRST.K2,Georgia,42.315407,43.356892,GEO,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224,..,..
Forest area (sq. km),AG.LND.FRST.K2,Germany,51.165691,10.451526,DEU,114090,114110,114130,114150,114170,114190,114190,114190,114190,114190,114190,114190,114190,..,..
Forest area (sq. km),AG.LND.FRST.K2,Ghana,7.946527,-1.023194,GHA,79429.3,79304.32,79179.34,79054.36,78929.38,78804.4,79222.4,79640.4,79712.6,79784.8,79857.1,79929.333,80001.611,..,..
Forest area (sq. km),AG.LND.FRST.K2,Gibraltar,36.137741,-5.345374,GIB,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Forest area (sq. km),AG.LND.FRST.K2,Greece,39.074208,21.824312,GRC,39018.03,39018.03,39018.03,39018.03,39018.03,39018.03,39018,39018,39018,39018,39018,39018,39018,..,..
Forest area (sq. km),AG.LND.FRST.K2,Greenland,71.706936,-42.604303,GRL,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Grenada,12.262776,-61.604171,GRD,177,177,177,177,177,177,177,177,177,177,177,177,177,..,..
Forest area (sq. km),AG.LND.FRST.K2,Guam,13.444304,144.793731,GUM,240,242,244,246,248,250,280,280,280,280,280,280,280,..,..
Forest area (sq. km),AG.LND.FRST.K2,Guatemala,15.783471,-90.230759,GTM,37226,36952.4,36678.8,36405.2,36131.6,35858,35742,35626,35510,35394,35278,35162,35046,..,..
Forest area (sq. km),AG.LND.FRST.K2,Guinea,9.945587,-9.696645,GIN,65690,65330,64970,64610,64250,63890,63490,63090,62690,62290,61890,61490,61090,..,..
Forest area (sq. km),AG.LND.FRST.K2,Guinea-Bissau,11.803749,-15.180413,GNB,20644.3,20559.86,20475.42,20390.98,20306.54,20222.1,20137.7,20053.3,19968.9,19884.5,19800.1,19715.7,19631.3,..,..
Forest area (sq. km),AG.LND.FRST.K2,Guyana,4.860416,-58.93018,GUY,185198.1,185081.2,184964.3,184847.4,184730.5,184613.6,184521.6,184429.5,184337.5,184245.4,184153.4,184061.333,183969.311,..,..
Forest area (sq. km),AG.LND.FRST.K2,Haiti,18.971187,-72.285215,HTI,3783.8,3752.74,3721.68,3690.62,3659.56,3628.5,3597.4,3566.3,3535.2,3504.1,3473,3441.9,3410.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,Honduras,15.199999,-86.241905,HND,65754.7,65531.42,65308.14,65084.86,64861.58,64638.3,64430.5,64221.1,64011.6,63802.1,63592.6,63383.1,63173.6,..,..
Forest area (sq. km),AG.LND.FRST.K2,Hong Kong,22.396428,114.109497,HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Forest area (sq. km),AG.LND.FRST.K2,Hungary,47.162494,19.503304,HUN,20463.9,20492.76,20521.62,20550.48,20579.34,20608.2,20587.3,20572.7,20559.2,20544.7,20530.1,20515.567,20500.989,..,..
Forest area (sq. km),AG.LND.FRST.K2,Iceland,64.963051,-19.020835,ISL,446.7,453.68,460.66,467.64,474.62,481.6,486.6,493.8,500.4,506.9,513.5,520,526.6,..,..
Forest area (sq. km),AG.LND.FRST.K2,India,20.593684,78.96288,IND,694960,697624,700288,702952,705616,708280,710944,713608,716272,718936,721600,724264,726928,..,..
Forest area (sq. km),AG.LND.FRST.K2,Indonesia,-0.789275,113.921327,IDN,996592,987329.4,978066.8,968804.2,959541.6,950279,952718,939498,933442.7,927387.3,921332,915276.633,909221.311,..,..
Forest area (sq. km),AG.LND.FRST.K2,Iran,32.427908,53.688046,IRN,106919.8,106919.8,106919.8,106919.8,106919.8,106919.8,107020.8,107105.9,107270.3,107434.7,107518.7,107656.3,107758.167,..,..
Forest area (sq. km),AG.LND.FRST.K2,Iraq,33.223191,43.679291,IRQ,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,..,..
Forest area (sq. km),AG.LND.FRST.K2,Ireland,53.41291,-8.24389,IRL,7203.8,7272.38,7340.96,7409.54,7478.12,7546.7,7623.5,7700.2,7740.2,7780.2,7820.2,7860.2,7900.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Isle of Man,54.236107,-4.548056,IMN,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,..,..
Forest area (sq. km),AG.LND.FRST.K2,Israel,31.046051,34.851612,ISR,1540,1562,1584,1606,1628,1650,1400,1400,1400,1400,1400,1400,..,..,..
Forest area (sq. km),AG.LND.FRST.K2,Italy,41.87194,12.56738,ITA,90280.4,90818.48,91356.56,91894.64,92432.72,92970.8,93508.9,94047,94585.1,95123.2,95661.3,96199.4,96737.5,..,..
Forest area (sq. km),AG.LND.FRST.K2,Jamaica,18.109581,-77.297508,JAM,5584.5,5622.52,5660.54,5698.56,5736.58,5774.6,5813.4,5852.3,5891.2,5930,5968.9,6007.733,6046.611,..,..
Forest area (sq. km),AG.LND.FRST.K2,Japan,36.204824,138.252924,JPN,249660,249616,249572,249528,249484,249440,249400,249350,249350,249350,249350,249350,249350,..,..
Forest area (sq. km),AG.LND.FRST.K2,Jordan,30.585164,36.238414,JOR,975,975,975,975,975,975,975,975,975,975,975,975,975,..,..
Forest area (sq. km),AG.LND.FRST.K2,Kazakhstan,48.019573,66.923684,KAZ,30821.795,31274.349,31726.902,32179.455,32632.009,33084.562,33377.1,33669.6,33962.012,34254.4,34546.8,34839.192,35131.589,..,..
Forest area (sq. km),AG.LND.FRST.K2,Kenya,-0.023559,37.906193,KEN,36163.4,35975.54,35787.68,35599.82,35411.96,35224.1,35519.7,35815.3,36110.9,36110.9,36110.9,36110.9,36110.9,..,..
Forest area (sq. km),AG.LND.FRST.K2,Kiribati,-3.370417,-168.734039,KIR,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,North Korea,40.339852,127.510093,PRK,62423.9,62211.6,61999.3,61787,61574.7,61362.4,61150.1,60937.8,60725.5,60513.2,60300.9,60088.6,59876.3,..,..
Forest area (sq. km),AG.LND.FRST.K2,South Korea,35.907757,127.766922,KOR,63870,63770,63670,63570,63470,63370,63250,63170,63070,62970,62870,62770,62670,..,..
Forest area (sq. km),AG.LND.FRST.K2,Kosovo,42.602636,20.902977,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Forest area (sq. km),AG.LND.FRST.K2,Kuwait,29.31166,47.481766,KWT,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,..,..
Forest area (sq. km),AG.LND.FRST.K2,Kyrgyzstan,41.20438,74.766098,KGZ,12296.8,12341.06,12385.32,12429.58,12473.84,12518.1,12562.4,12606.642,12789,12971.4,13153.8,13336.2,13518.6,..,..
Forest area (sq. km),AG.LND.FRST.K2,Laos,19.85627,102.495496,LAO,169405,169060,168715,168370,168025,167680,167335,166990,166645,166300,165955,165610,165265,..,..
Forest area (sq. km),AG.LND.FRST.K2,Latvia,56.879635,24.603189,LVA,33721.2,33759.84,33798.48,33837.12,33875.76,33914.4,33953.1,33991.8,34030.5,34069.2,34107.9,34146.6,34185.3,..,..
Forest area (sq. km),AG.LND.FRST.K2,Lebanon,33.854721,35.862285,LBN,1373.5,1379.46,1385.42,1391.38,1397.34,1403.3,1409.3,1415.3,1421.3,1427.3,1433.3,1439.3,1445.3,..,..
Forest area (sq. km),AG.LND.FRST.K2,Lesotho,-29.609988,28.233608,LSO,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Liberia,6.428055,-9.429499,LBR,79200.4,78897.8,78595.2,78292.6,77990,77687.4,77384.8,77082.2,76779.6,76477,76174.4,75871.8,75569.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Libya,26.3351,17.228331,LBY,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,..,..
Forest area (sq. km),AG.LND.FRST.K2,Liechtenstein,47.166,9.555373,LIE,66.992,66.994,66.995,66.997,66.998,67,67,67,67,67,67,67,67,..,..
Forest area (sq. km),AG.LND.FRST.K2,Lithuania,55.169438,23.881275,LTU,21700,21734,21768,21802,21836,21870,21900,21960,21980,22000,22010,22026.667,22038.889,..,..
Forest area (sq. km),AG.LND.FRST.K2,Luxembourg,49.815273,6.129583,LUX,887,887,887,887,887,887,887,887,887,887,887,887,887,..,..
Forest area (sq. km),AG.LND.FRST.K2,"Macao SAR, China",,,MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Forest area (sq. km),AG.LND.FRST.K2,Madagascar,-18.766947,46.869107,MDG,125619.8,125487.62,125355.44,125223.26,125091.08,124958.9,124826.8,124694.6,124562.4,124430.3,124298.1,124165.967,124033.789,..,..
Forest area (sq. km),AG.LND.FRST.K2,Malawi,-13.254308,34.301525,MWI,26617,26197,25777,25357,24937,24517,24097,23677,23257,22837,22417,21997,21577,..,..
Forest area (sq. km),AG.LND.FRST.K2,Malaysia,4.210484,101.975766,MYS,189476.5,190509.64,191542.78,192575.92,193609.06,194642.2,193146.4,192644.9,192143.4,191641.9,191140.4,190638.9,190137.4,..,..
Forest area (sq. km),AG.LND.FRST.K2,Maldives,3.202778,73.22068,MDV,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,..,..
Forest area (sq. km),AG.LND.FRST.K2,Mali,17.570692,-3.996166,MLI,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,..,..
Forest area (sq. km),AG.LND.FRST.K2,Malta,35.937496,14.375416,MLT,3.5,3.5,3.5,3.5,3.5,3.5,3.8,4.2,4.6,4.6,4.6,4.6,4.6,..,..
Forest area (sq. km),AG.LND.FRST.K2,Marshall Islands,7.131474,171.184478,MHL,94,94,94,94,94,94,94,94,94,94,94,94,94,..,..
Forest area (sq. km),AG.LND.FRST.K2,Mauritania,21.00789,-10.940835,MRT,3672.4,3618,3563.6,3509.2,3454.8,3400.4,3346,3292,3237,3183,3128,3073.667,3018.889,..,..
Forest area (sq. km),AG.LND.FRST.K2,Mauritius,-20.348404,57.552152,MUS,383.9,383.72,383.54,383.36,383.18,383,382.9,386.5,386.9,387.3,387.7,388.1,388.5,..,..
Forest area (sq. km),AG.LND.FRST.K2,Mexico,23.634501,-102.552784,MEX,669433.1,668208.3,666983.5,665758.7,664533.9,663309.1,662031.5,660753.8,659476.1,658198.5,656920.8,655643.167,654365.489,..,..
Forest area (sq. km),AG.LND.FRST.K2,Micronesia,7.425554,150.550812,FSM,641.3,641.58,641.86,642.14,642.42,642.7,643,643.3,643.6,643.9,644.2,644.5,644.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,Moldova,47.411631,28.369885,MDA,3745,3768.8,3792.6,3816.4,3840.2,3864,3865,3865,3865,3865,3865,3865,3865,..,..
Forest area (sq. km),AG.LND.FRST.K2,Monaco,43.750298,7.412841,MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Forest area (sq. km),AG.LND.FRST.K2,Mongolia,46.862496,103.846656,MNG,141839,141827.86,141816.72,141805.58,141794.44,141783.3,141772.2,141761.1,141750,141738.9,141727.8,141716.7,141705.6,..,..
Forest area (sq. km),AG.LND.FRST.K2,Montenegro,42.708678,19.37439,MNE,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,..,..
Forest area (sq. km),AG.LND.FRST.K2,Morocco,31.791702,-7.09262,MAR,56745.7,56765.94,56786.18,56806.42,56826.66,56846.9,56997.9,57115.9,57215.9,57320.9,57424.9,57529.567,57633.789,..,..
Forest area (sq. km),AG.LND.FRST.K2,Mozambique,-18.665695,35.529562,MOZ,389721.4,387657.12,385592.84,383528.56,381464.28,379400,376282.9,374066,372241.68,369661.1,367437.6,364976.047,362673.196,..,..
Forest area (sq. km),AG.LND.FRST.K2,Myanmar,21.913965,95.956223,MMR,314410,311512.88,308615.76,305718.64,302821.52,299924.4,297027.3,294130.2,291233.1,288336,285438.9,282541.8,279644.7,..,..
Forest area (sq. km),AG.LND.FRST.K2,Namibia,-22.95764,18.49041,NAM,73489.9,72779.82,72069.74,71359.66,70649.58,69939.5,69229.4,68519.3,67809.2,67099.1,66389,65678.9,64968.8,..,..
Forest area (sq. km),AG.LND.FRST.K2,Nauru,-0.522778,166.931503,NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Forest area (sq. km),AG.LND.FRST.K2,Nepal,28.394857,84.124008,NPL,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,59620.3,..,..
