"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AGO",2001,4957.52125232632878932,3180787.037354872413844
"ARG",2001,5979.95461381808207438,2342089.614865743692032
"AUS",2001,0.07592236710015192,142.65925846096894
"BDI",2001,6.22292964949001748,3350.03342933260579
"BES",2001,0.1469319746592882,113.49912121387969
"BGD",2001,384.77334921171956325,245110.63067025236335
"BHS",2001,0.28678775083984374,49.482317191815872
"BLZ",2001,1272.15088350485735303,617654.471835484555193
"BOL",2001,36517.33844351502589483,20420480.699229469202675
"BRA",2001,465525.97231393653276557,300511481.2720292364303632
"BRN",2001,256.08653660094799906,203605.110559247966349
"BTN",2001,69.41099623881294307,47188.470843285363799
"CAF",2001,3939.63629390936728744,2797190.397990335991066
"CHN",2001,867.27425443812282747,495996.790854037106256
"CIV",2001,14048.50991599635307722,6422040.148207070894300
"CMR",2001,8286.75606657633788059,5418362.186009544736368
"COD",2001,92019.83365892222910627,66069813.739753940562604
"COG",2001,7399.06647196844233350,4789289.481890866755138
"COL",2001,24058.84128818705695469,15562547.446594439811643
"CRI",2001,522.82966407001514023,318489.418010214195374
"CUB",2001,475.24672877172090440,144920.21140488057476504
"CYM",2001,2.24888464985785618,592.61015649417046
"DMA",2001,5.04974570282118112,2984.328247426062139
"DOM",2001,235.77704186081707840,103310.068932368987199
"ECU",2001,4726.19348739989683123,3277560.296821545992521
"ETH",2001,1399.27059449023215842,945566.363861421941967
"FJI",2001,12.56193164559895832,6779.65105263838389
"GAB",2001,5117.83666954909811304,3278099.052814465871396
"GHA",2001,1696.35692723990517271,828078.545862034795706
"GIN",2001,287.89915564443293870,153230.225538766192432
"GLP",2001,3.1064585997998048,1803.69892168231979
"GNB",2001,8.52683887830675022,2668.032069070441592
"GNQ",2001,603.26105603142175548,387625.688166731758284
"GTM",2001,3967.84342449733000766,2237086.831003134338168
"GUF",2001,901.77611951122810862,740608.615110632886585
"GUY",2001,1834.78657925390598186,1271881.258271667183828
"HND",2001,4747.46372050828593377,2788389.9343543998141845
"HTI",2001,9.89033936289062616,4732.903466985978346
"IDN",2001,114393.86503171677402393,110822630.9916889856248377
"IND",2001,4436.45403862415232118,3035656.253715779521291
"JAM",2001,89.57468488645834299,55080.003641995070728
"KEN",2001,2390.69343360199004527,1421846.690054288992616
"KHM",2001,8890.22003364705130112,5341539.740016042359592
"KNA",2001,1.98641194428059904,1118.73306847902975
"LAO",2001,10259.68649796363175959,6538402.222678935974416
"LBR",2001,2080.43486211133558957,1135895.564240197844983
"LCA",2001,1.04632296464463969,649.72532513906521
"LKA",2001,115.83366713140218601,53025.51012975413225
"MAF",2001,0.43937747833441842,178.21448981588687
"MDG",2001,21193.78309873169641458,12824846.468014638465685
"MDV",2001,0.07640892191650392,0.0
"MEX",2001,8055.03857110392580494,4052503.2059975724138575
"MMR",2001,9308.13783060656042730,5969293.5839941208319575
"MOZ",2001,47.94843722824814950,24982.276174598229603
"MSR",2001,0.44252670263237849,243.039977528442144
"MTQ",2001,1.56420304559570317,886.675854787800585
"MWI",2001,2.52992412338650189,1416.85155185565554
"MYS",2001,24071.03173792700909701,19591062.814308199044130
"NGA",2001,3494.91524358786845705,1438524.113099309256062
"NIC",2001,1852.85307283475627784,1126489.145455854147972
"NPL",2001,59.36401164300781166,37782.870067585851623
"PAN",2001,1188.84293430027110992,780851.841101447950525
"PER",2001,28695.53397477914394763,19914401.726883448202976
"PHL",2001,1655.06408471400949092,1209235.148040457344133
"PLW",2001,7.32442884702067070,5575.363494207927512
"PNG",2001,10238.09836848999913660,8634649.130961791211341
"PRI",2001,29.02792696137044374,17107.043452635480637
"PRY",2001,13533.81797036168461739,5339826.598202997257915
"RWA",2001,10.68536000877258379,6799.886426294490723
"SLB",2001,745.63212844315784710,588212.468271048649337
"SLE",2001,266.80736959211373778,147681.559264935901688
"SLV",2001,11.15520183661349857,6804.244206674896511
"SSD",2001,10.96986719427476790,6537.618461678470148
"SUR",2001,1144.89727470248811634,929813.938914029399698
"SXM",2001,0.07323942758246528,33.33213115469973
"TCA",2001,0.5720265906803386,128.923904510682088
"TGO",2001,2.44437867068060983,807.89450150728515
"THA",2001,2035.68548775114242748,1317635.574494977741362
"TTO",2001,83.47129334891381826,67327.121718036659409
"TWN",2001,62.83498421080403791,38711.827110481415534
"TZA",2001,1579.14805585026715234,981172.544394220807337
"UGA",2001,3741.81969841821349280,1909936.062930414865567
"USA",2001,33.53702004034620171,12862.166558343127882
"VCT",2001,0.07495259433865017,34.60588820570185
"VEN",2001,10432.59545529650444171,6147528.231183116615242
"VGB",2001,0.87699250704644096,420.64785404078055
"VIR",2001,0.43871009726454,178.26640201494563
"VNM",2001,12023.49419722953608436,7077647.791142744781046
"VUT",2001,17.42882615772243973,10182.19733446822563
"Z07",2001,1105.48802056500885192,708091.813028569533146
"ZAF",2001,54.06534504158854697,26472.067317877012422
"ZMB",2001,91.93893608351073688,45481.40269826049559
"ZWE",2001,8.99398214801649552,5041.92631633859790
"AGO",2002,3499.63627299536797677,2158371.041391216853570
"ARG",2002,9318.45821939031599741,3497319.092689820854038
"AUS",2002,0.60741974119194880,282.499592134182319
"BDI",2002,3.91871376533284548,2405.14274036388436
"BEN",2002,0.22913985083577476,75.21859285081219
"BGD",2002,619.40670645362155069,402099.88825567291019
"BHS",2002,0.21357198816189237,36.163806731711636
"BLZ",2002,5570.27996413942471365,2880679.113679260168743
"BOL",2002,70494.77878507235775008,37165181.181694082674259
